,_id,year,level_1,level_2,value
208,209,2018,Community Hospitals Admissions,Public,8271
209,210,2018,Community Hospitals Admissions,Non-public,9628
210,211,2019,Acute Hospitals Admissions,Public,483939
211,212,2019,Acute Hospitals Admissions,Non-public,134197
212,213,2019,Psychiatric Hospitals Admissions,Public,9234
213,214,2019,Psychiatric Hospitals Admissions,Non-public,0
214,215,2019,Community Hospitals Admissions,Public,10215
215,216,2019,Community Hospitals Admissions,Non-public,9828
216,217,2020,Acute Hospitals Admissions,Public,444863
217,218,2020,Acute Hospitals Admissions,Non-public,111648
218,219,2020,Psychiatric Hospitals Admissions,Public,8426
219,220,2020,Psychiatric Hospitals Admissions,Non-public,0
220,221,2020,Community Hospitals Admissions,Public,11169
221,222,2020,Community Hospitals Admissions,Non-public,9679
