area,sex,age_group,population
Depot Road,female,fe50-54,210
Everton Park,female,fe50-54,290
Henderson Hill,female,fe50-54,490
Kampong Tiong Bahru,female,fe50-54,310
Maritime Square,female,fe50-54,140
Redhill,female,fe50-54,380
Singapore General Hospital,female,fe50-54,-
Telok Blangah Drive,female,fe50-54,610
Telok Blangah Rise,female,fe50-54,420
Telok Blangah Way,female,fe50-54,310
Tiong Bahru,female,fe50-54,420
Tiong Bahru Station,female,fe50-54,590
Bukit Panjang - Total,female,fe50-54,5180
Bangkit,female,fe50-54,890
Dairy Farm,female,fe50-54,280
Fajar,female,fe50-54,940
Jelebu,female,fe50-54,1360
Nature Reserve,female,fe50-54,170
Saujana,female,fe50-54,870
Senja,female,fe50-54,670
Bukit Timah - Total,female,fe50-54,3120
Anak Bukit,female,fe50-54,860
Coronation Road,female,fe50-54,250
Farrer Court,female,fe50-54,240
Hillcrest,female,fe50-54,380
Holland Road,female,fe50-54,450
Leedon Park,female,fe50-54,300
Swiss Club,female,fe50-54,210
Ulu Pandan,female,fe50-54,440
Central Water Catchment - Total,female,fe50-54,-
Central Water Catchment,female,fe50-54,-
Changi- Total,female,fe50-54,60
Changi Airport,female,fe50-54,-
Changi Point,female,fe50-54,30
Changi West,female,fe50-54,20
Changi Bay - Total,female,fe50-54,-
Changi Bay,female,fe50-54,-
Choa Chu Kang - Total,female,fe50-54,8310
Choa Chu Kang Central,female,fe50-54,1030
Choa Chu Kang North,female,fe50-54,1880
Keat Hong,female,fe50-54,1230
Peng Siang,female,fe50-54,1360
Teck Whye,female,fe50-54,940
Yew Tee,female,fe50-54,1870
Clementi - Total,female,fe50-54,3380
Clementi Central,female,fe50-54,520
Clementi North,female,fe50-54,1000
Clementi West,female,fe50-54,610
Clementi Woods,female,fe50-54,550
Faber,female,fe50-54,190
Pandan,female,fe50-54,-
Sunset Way,female,fe50-54,240
Toh Tuck,female,fe50-54,-
West Coast,female,fe50-54,270
Downtown Core - Total,female,fe50-54,120
Anson,female,fe50-54,-
Bayfront Subzone,female,fe50-54,-
Bugis,female,fe50-54,40
Cecil,female,fe50-54,10
Central Subzone,female,fe50-54,30
City Hall,female,fe50-54,-
Clifford Pier,female,fe50-54,-
Marina Centre,female,fe50-54,-
Maxwell,female,fe50-54,-
Nicoll,female,fe50-54,10
Phillip,female,fe50-54,-
Raffles Place,female,fe50-54,-
Tanjong Pagar,female,fe50-54,20
Geylang - Total,female,fe50-54,3860
Aljunied,female,fe50-54,1360
Geylang East,female,fe50-54,1040
Kallang Way,female,fe50-54,-
Kampong Ubi,female,fe50-54,390
Macpherson,female,fe50-54,1070
Hougang - Total,female,fe50-54,8690
Defu Industrial Park,female,fe50-54,-
Hougang Central,female,fe50-54,210
Hougang East,female,fe50-54,900
Hougang West,female,fe50-54,1790
Kangkar,female,fe50-54,1100
Kovan,female,fe50-54,920
Lorong Ah Soo,female,fe50-54,1250
Lorong Halus,female,fe50-54,-
Tai Seng,female,fe50-54,560
Trafalgar,female,fe50-54,1950
Jurong East - Total,female,fe50-54,2830
International Business Park,female,fe50-54,-
Jurong Gateway,female,fe50-54,10
Jurong Port,female,fe50-54,-
Jurong River,female,fe50-54,-
Lakeside (Business),female,fe50-54,-
Lakeside (Leisure),female,fe50-54,40
Penjuru Crescent,female,fe50-54,-
Teban Gardens,female,fe50-54,620
Toh Guan,female,fe50-54,550
Yuhua East,female,fe50-54,910
Yuhua West,female,fe50-54,700
Jurong West - Total,female,fe50-54,9760
Boon Lay Place,female,fe50-54,1030
Chin Bee,female,fe50-54,-
Hong Kah,female,fe50-54,1930
Jurong West Central,female,fe50-54,2170
Kian Teck,female,fe50-54,-
Safti,female,fe50-54,-
Taman Jurong,female,fe50-54,1530
Wenya,female,fe50-54,240
Yunnan,female,fe50-54,2860
Kallang - Total,female,fe50-54,3500
Bendemeer,female,fe50-54,1150
Boon Keng,female,fe50-54,440
Crawford,female,fe50-54,260
Geylang Bahru,female,fe50-54,430
Kallang Bahru,female,fe50-54,-
Kampong Bugis,female,fe50-54,20
Kampong Java,female,fe50-54,390
Lavender,female,fe50-54,320
Tanjong Rhu,female,fe50-54,490
Lim Chu Kang - Total,female,fe50-54,10
Lim Chu Kang,female,fe50-54,10
Mandai - Total,female,fe50-54,90
Mandai East,female,fe50-54,-
Mandai Estate,female,fe50-54,90
Mandai West,female,fe50-54,-
Marina East - Total,female,fe50-54,-
Marina East,female,fe50-54,-
Marina South - Total,female,fe50-54,-
Marina South,female,fe50-54,-
Marine Parade - Total,female,fe50-54,1730
East Coast,female,fe50-54,-
Katong,female,fe50-54,340
Marina East (Mp),female,fe50-54,-
Marine Parade,female,fe50-54,1040
Mountbatten,female,fe50-54,360
Museum - Total,female,fe50-54,20
Bras Basah,female,fe50-54,-
Dhoby Ghaut,female,fe50-54,10
Fort Canning,female,fe50-54,10
Newton - Total,female,fe50-54,340
Cairnhill,female,fe50-54,170
Goodwood Park,female,fe50-54,40
Istana Negara,female,fe50-54,-
Monk's Hill,female,fe50-54,30
Newton Circus,female,fe50-54,10
Orange Grove,female,fe50-54,90
North-Eastern Islands - Total,female,fe50-54,-
North-Eastern Islands,female,fe50-54,-
Novena - Total,female,fe50-54,1810
Balestier,female,fe50-54,1210
Dunearn,female,fe50-54,170
Malcolm,female,fe50-54,100
Moulmein,female,fe50-54,310
Mount Pleasant,female,fe50-54,30
Orchard - Total,female,fe50-54,40
Boulevard,female,fe50-54,10
Somerset,female,fe50-54,10
Tanglin,female,fe50-54,10
Outram - Total,female,fe50-54,600
China Square,female,fe50-54,50
Chinatown,female,fe50-54,340
Pearl's Hill,female,fe50-54,200
People's Park,female,fe50-54,10
Pasir Ris - Total,female,fe50-54,7210
Flora Drive,female,fe50-54,680
Loyang East,female,fe50-54,90
Loyang West,female,fe50-54,-
Pasir Ris Central,female,fe50-54,1450
Pasir Ris Drive,female,fe50-54,2710
Pasir Ris Park,female,fe50-54,330
Pasir Ris Wafer Fab Park,female,fe50-54,-
Pasir Ris West,female,fe50-54,1970
Paya Lebar - Total,female,fe50-54,-
Airport Road,female,fe50-54,-
Paya Lebar East,female,fe50-54,-
Paya Lebar North,female,fe50-54,-
Paya Lebar West,female,fe50-54,-
Plab,female,fe50-54,-
Pioneer - Total,female,fe50-54,-
Benoi Sector,female,fe50-54,-
Gul Basin,female,fe50-54,-
Gul Circle,female,fe50-54,-
Joo Koon,female,fe50-54,-
Pioneer Sector,female,fe50-54,-
Punggol - Total,female,fe50-54,4460
Coney Island,female,fe50-54,-
Matilda,female,fe50-54,1190
Northshore,female,fe50-54,20
Punggol Canal,female,fe50-54,-
Punggol Field,female,fe50-54,1640
Punggol Town Centre,female,fe50-54,500
Waterway East,female,fe50-54,1110
Queenstown - Total,female,fe50-54,3570
Commonwealth,female,fe50-54,290
Dover,female,fe50-54,470
Ghim Moh,female,fe50-54,420
Holland Drive,female,fe50-54,520
Kent Ridge,female,fe50-54,-
Margaret Drive,female,fe50-54,470
Mei Chin,female,fe50-54,670
National University Of S'pore,female,fe50-54,-
One North,female,fe50-54,30
Pasir Panjang 1,female,fe50-54,190
Pasir Panjang 2,female,fe50-54,120
Port,female,fe50-54,-
Queensway,female,fe50-54,10
Singapore Polytechnic,female,fe50-54,-
Tanglin Halt,female,fe50-54,370
River Valley - Total,female,fe50-54,430
Institution Hill,female,fe50-54,110
Leonie Hill,female,fe50-54,140
One Tree Hill,female,fe50-54,110
Oxley,female,fe50-54,60
Paterson,female,fe50-54,10
Rochor - Total,female,fe50-54,460
Bencoolen,female,fe50-54,50
Farrer Park,female,fe50-54,90
Kampong Glam,female,fe50-54,-
Little India,female,fe50-54,110
Mackenzie,female,fe50-54,10
Mount Emily,female,fe50-54,50
Rochor Canal,female,fe50-54,-
Selegie,female,fe50-54,10
Sungei Road,female,fe50-54,80
Victoria,female,fe50-54,60
Seletar - Total,female,fe50-54,20
Pulau Punggol Barat,female,fe50-54,-
Pulau Punggol Timor,female,fe50-54,-
Seletar,female,fe50-54,20
Seletar Aerospace Park,female,fe50-54,-
Sembawang - Total,female,fe50-54,3560
Admiralty,female,fe50-54,500
Sembawang Central,female,fe50-54,1250
Sembawang East,female,fe50-54,500
Sembawang North,female,fe50-54,920
Sembawang Springs,female,fe50-54,310
Sembawang Straits,female,fe50-54,80
Senoko North,female,fe50-54,-
Senoko South,female,fe50-54,-
The Wharves,female,fe50-54,-
Sengkang - Total,female,fe50-54,7670
Anchorvale,female,fe50-54,1200
Compassvale,female,fe50-54,470
Fernvale,female,fe50-54,1540
Lorong Halus North,female,fe50-54,-
Rivervale,female,fe50-54,2250
Sengkang Town Centre,female,fe50-54,2220
Sengkang West,female,fe50-54,-
Serangoon - Total,female,fe50-54,4490
Lorong Chuan,female,fe50-54,380
Seletar Hills,female,fe50-54,600
Serangoon Central,female,fe50-54,910
Serangoon Garden,female,fe50-54,1310
Serangoon North,female,fe50-54,700
Serangoon North Ind Estate,female,fe50-54,-
Upper Paya Lebar,female,fe50-54,590
Simpang - Total,female,fe50-54,-
Pulau Seletar,female,fe50-54,-
Simpang North,female,fe50-54,-
Simpang South,female,fe50-54,-
Tanjong Irau,female,fe50-54,-
Singapore River - Total,female,fe50-54,130
Boat Quay,female,fe50-54,-
Clarke Quay,female,fe50-54,10
Robertson Quay,female,fe50-54,120
Southern Islands - Total,female,fe50-54,100
Sentosa,female,fe50-54,100
Southern Group,female,fe50-54,-
Straits View - Total,female,fe50-54,-
Straits View,female,fe50-54,-
Sungei Kadut - Total,female,fe50-54,30
Gali Batu,female,fe50-54,-
Kranji,female,fe50-54,-
Pang Sua,female,fe50-54,-
Reservoir View,female,fe50-54,-
Turf Club,female,fe50-54,20
Tampines - Total,female,fe50-54,10030
Simei,female,fe50-54,1590
Tampines East,female,fe50-54,5250
Tampines North,female,fe50-54,140
Tampines West,female,fe50-54,2960
Xilin,female,fe50-54,80
Tanglin - Total,female,fe50-54,880
Chatsworth,female,fe50-54,300
Nassim,female,fe50-54,360
Ridout,female,fe50-54,70
Tyersall,female,fe50-54,160
Tengah - Total,female,fe50-54,-
Brickland,female,fe50-54,-
Forest Hill,female,fe50-54,-
Garden,female,fe50-54,-
Park,female,fe50-54,-
Plantation,female,fe50-54,-
Tengah Industrial Estate,female,fe50-54,-
Toa Payoh - Total,female,fe50-54,4540
Bidadari,female,fe50-54,-
Boon Teck,female,fe50-54,510
Braddell,female,fe50-54,390
Joo Seng,female,fe50-54,280
Kim Keat,female,fe50-54,260
Lorong 8 Toa Payoh,female,fe50-54,280
Pei Chun,female,fe50-54,460
Potong Pasir,female,fe50-54,430
Sennett,female,fe50-54,190
Toa Payoh Central,female,fe50-54,1100
Toa Payoh West,female,fe50-54,530
Woodleigh,female,fe50-54,100
Tuas - Total,female,fe50-54,-
Tengeh,female,fe50-54,-
Tuas Bay,female,fe50-54,-
Tuas North,female,fe50-54,-
Tuas Promenade,female,fe50-54,-
Tuas View,female,fe50-54,-
Tuas View Extension,female,fe50-54,-
Western Islands - Total,female,fe50-54,-
Jurong Island And Bukom,female,fe50-54,-
Semakau,female,fe50-54,-
Sudong,female,fe50-54,-
Western Water Catchment - Total,female,fe50-54,20
Bahar,female,fe50-54,-
Cleantech,female,fe50-54,-
Murai,female,fe50-54,20
Woodlands - Total,female,fe50-54,10870
Greenwood Park,female,fe50-54,-
Midview,female,fe50-54,1720
North Coast,female,fe50-54,500
Senoko West,female,fe50-54,-
Woodgrove,female,fe50-54,1760
Woodlands East,female,fe50-54,3930
Woodlands Regional Centre,female,fe50-54,-
Woodlands South,female,fe50-54,1550
Woodlands West,female,fe50-54,1410
Yishun - Total,female,fe50-54,7830
Khatib,female,fe50-54,410
Lower Seletar,female,fe50-54,410
Nee Soon,female,fe50-54,40
Northland,female,fe50-54,1070
Springleaf,female,fe50-54,160
Yishun Central,female,fe50-54,100
Yishun East,female,fe50-54,1970
Yishun South,female,fe50-54,1570
Yishun West,female,fe50-54,2100
Total,female,fe55-59,152870
Ang Mo Kio - Total,female,fe55-59,6450
Ang Mo Kio Town Centre,female,fe55-59,150
Cheng San,female,fe55-59,1060
Chong Boon,female,fe55-59,1040
Kebun Bahru,female,fe55-59,870
Sembawang Hills,female,fe55-59,300
Shangri-La,female,fe55-59,660
Tagore,female,fe55-59,360
Townsville,female,fe55-59,820
Yio Chu Kang,female,fe55-59,-
Yio Chu Kang East,female,fe55-59,180
Yio Chu Kang North,female,fe55-59,-
Yio Chu Kang West,female,fe55-59,1010
Bedok - Total,female,fe55-59,11180
Bayshore,female,fe55-59,240
Bedok North,female,fe55-59,3450
Bedok Reservoir,female,fe55-59,920
Bedok South,female,fe55-59,1930
Frankel,female,fe55-59,1190
Kaki Bukit,female,fe55-59,1730
Kembangan,female,fe55-59,1480
Siglap,female,fe55-59,250
Bishan - Total,female,fe55-59,3790
Bishan East,female,fe55-59,1200
Marymount,female,fe55-59,1370
Upper Thomson,female,fe55-59,1230
Boon Lay - Total,female,fe55-59,-
Liu Fang,female,fe55-59,-
Samulun,female,fe55-59,-
Shipyard,female,fe55-59,-
Tukang,female,fe55-59,-
Bukit Batok - Total,female,fe55-59,6270
Brickworks,female,fe55-59,350
Bukit Batok Central,female,fe55-59,1020
Bukit Batok East,female,fe55-59,610
Bukit Batok South,female,fe55-59,690
Bukit Batok West,female,fe55-59,580
Gombak,female,fe55-59,360
Guilin,female,fe55-59,530
Hillview,female,fe55-59,910
Hong Kah North,female,fe55-59,1210
Bukit Merah - Total,female,fe55-59,5210
Alexandra Hill,female,fe55-59,520
Alexandra North,female,fe55-59,70
Bukit Ho Swee,female,fe55-59,540
Bukit Merah,female,fe55-59,50
City Terminals,female,fe55-59,-
Depot Road,female,fe55-59,180
Everton Park,female,fe55-59,270
Henderson Hill,female,fe55-59,500
Kampong Tiong Bahru,female,fe55-59,340
Maritime Square,female,fe55-59,100
Redhill,female,fe55-59,340
Singapore General Hospital,female,fe55-59,-
Telok Blangah Drive,female,fe55-59,610
Telok Blangah Rise,female,fe55-59,430
Telok Blangah Way,female,fe55-59,340
Tiong Bahru,female,fe55-59,390
Tiong Bahru Station,female,fe55-59,550
Bukit Panjang - Total,female,fe55-59,5780
Bangkit,female,fe55-59,1130
Dairy Farm,female,fe55-59,280
Fajar,female,fe55-59,1080
Jelebu,female,fe55-59,1550
Nature Reserve,female,fe55-59,170
Saujana,female,fe55-59,950
Senja,female,fe55-59,620
Bukit Timah - Total,female,fe55-59,2800
Anak Bukit,female,fe55-59,850
Coronation Road,female,fe55-59,210
Farrer Court,female,fe55-59,190
Hillcrest,female,fe55-59,330
Holland Road,female,fe55-59,360
Leedon Park,female,fe55-59,220
Swiss Club,female,fe55-59,190
Ulu Pandan,female,fe55-59,440
Central Water Catchment - Total,female,fe55-59,-
Central Water Catchment,female,fe55-59,-
Changi- Total,female,fe55-59,50
Changi Airport,female,fe55-59,-
Changi Point,female,fe55-59,30
Changi West,female,fe55-59,20
Changi Bay - Total,female,fe55-59,-
Changi Bay,female,fe55-59,-
Choa Chu Kang - Total,female,fe55-59,7850
Choa Chu Kang Central,female,fe55-59,980
Choa Chu Kang North,female,fe55-59,1500
Keat Hong,female,fe55-59,1080
Peng Siang,female,fe55-59,1450
Teck Whye,female,fe55-59,1250
Yew Tee,female,fe55-59,1600
Clementi - Total,female,fe55-59,3220
Clementi Central,female,fe55-59,490
Clementi North,female,fe55-59,1020
Clementi West,female,fe55-59,550
Clementi Woods,female,fe55-59,600
Faber,female,fe55-59,140
Pandan,female,fe55-59,-
Sunset Way,female,fe55-59,220
Toh Tuck,female,fe55-59,-
West Coast,female,fe55-59,200
Downtown Core - Total,female,fe55-59,90
Anson,female,fe55-59,-
Bayfront Subzone,female,fe55-59,-
Bugis,female,fe55-59,30
Cecil,female,fe55-59,10
Central Subzone,female,fe55-59,20
City Hall,female,fe55-59,-
Clifford Pier,female,fe55-59,-
Marina Centre,female,fe55-59,-
Maxwell,female,fe55-59,-
Nicoll,female,fe55-59,10
Phillip,female,fe55-59,-
Raffles Place,female,fe55-59,-
Tanjong Pagar,female,fe55-59,20
Geylang - Total,female,fe55-59,4150
Aljunied,female,fe55-59,1460
Geylang East,female,fe55-59,1030
Kallang Way,female,fe55-59,-
Kampong Ubi,female,fe55-59,530
Macpherson,female,fe55-59,1140
Hougang - Total,female,fe55-59,9580
Defu Industrial Park,female,fe55-59,-
Hougang Central,female,fe55-59,210
Hougang East,female,fe55-59,1090
Hougang West,female,fe55-59,2280
Kangkar,female,fe55-59,1130
Kovan,female,fe55-59,1000
Lorong Ah Soo,female,fe55-59,1310
Lorong Halus,female,fe55-59,-
Tai Seng,female,fe55-59,580
Trafalgar,female,fe55-59,1980
Jurong East - Total,female,fe55-59,3140
International Business Park,female,fe55-59,-
Jurong Gateway,female,fe55-59,10
Jurong Port,female,fe55-59,-
Jurong River,female,fe55-59,-
Lakeside (Business),female,fe55-59,-
Lakeside (Leisure),female,fe55-59,30
Penjuru Crescent,female,fe55-59,-
Teban Gardens,female,fe55-59,640
Toh Guan,female,fe55-59,670
Yuhua East,female,fe55-59,970
Yuhua West,female,fe55-59,820
Jurong West - Total,female,fe55-59,9240
Boon Lay Place,female,fe55-59,930
Chin Bee,female,fe55-59,-
Hong Kah,female,fe55-59,1980
Jurong West Central,female,fe55-59,2030
Kian Teck,female,fe55-59,-
Safti,female,fe55-59,-
Taman Jurong,female,fe55-59,1350
Wenya,female,fe55-59,200
Yunnan,female,fe55-59,2760
Kallang - Total,female,fe55-59,3600
Bendemeer,female,fe55-59,1180
Boon Keng,female,fe55-59,430
Crawford,female,fe55-59,320
Geylang Bahru,female,fe55-59,460
Kallang Bahru,female,fe55-59,-
Kampong Bugis,female,fe55-59,40
Kampong Java,female,fe55-59,390
Lavender,female,fe55-59,370
Tanjong Rhu,female,fe55-59,410
Lim Chu Kang - Total,female,fe55-59,10
Lim Chu Kang,female,fe55-59,10
Mandai - Total,female,fe55-59,90
Mandai East,female,fe55-59,-
Mandai Estate,female,fe55-59,90
Mandai West,female,fe55-59,-
Marina East - Total,female,fe55-59,-
Marina East,female,fe55-59,-
Marina South - Total,female,fe55-59,-
Marina South,female,fe55-59,-
Marine Parade - Total,female,fe55-59,1690
East Coast,female,fe55-59,-
Katong,female,fe55-59,350
Marina East (Mp),female,fe55-59,-
Marine Parade,female,fe55-59,970
Mountbatten,female,fe55-59,370
Museum - Total,female,fe55-59,20
Bras Basah,female,fe55-59,-
Dhoby Ghaut,female,fe55-59,10
Fort Canning,female,fe55-59,10
Newton - Total,female,fe55-59,290
Cairnhill,female,fe55-59,130
Goodwood Park,female,fe55-59,40
Istana Negara,female,fe55-59,-
Monk's Hill,female,fe55-59,40
Newton Circus,female,fe55-59,10
Orange Grove,female,fe55-59,70
North-Eastern Islands - Total,female,fe55-59,-
North-Eastern Islands,female,fe55-59,-
Novena - Total,female,fe55-59,1710
Balestier,female,fe55-59,1160
Dunearn,female,fe55-59,160
Malcolm,female,fe55-59,110
Moulmein,female,fe55-59,240
Mount Pleasant,female,fe55-59,30
Orchard - Total,female,fe55-59,30
Boulevard,female,fe55-59,10
Somerset,female,fe55-59,-
Tanglin,female,fe55-59,10
Outram - Total,female,fe55-59,600
China Square,female,fe55-59,60
Chinatown,female,fe55-59,300
Pearl's Hill,female,fe55-59,220
People's Park,female,fe55-59,10
Pasir Ris - Total,female,fe55-59,6740
Flora Drive,female,fe55-59,590
Loyang East,female,fe55-59,110
Loyang West,female,fe55-59,-
Pasir Ris Central,female,fe55-59,1450
Pasir Ris Drive,female,fe55-59,2770
Pasir Ris Park,female,fe55-59,210
Pasir Ris Wafer Fab Park,female,fe55-59,-
Pasir Ris West,female,fe55-59,1620
Paya Lebar - Total,female,fe55-59,-
Airport Road,female,fe55-59,-
Paya Lebar East,female,fe55-59,-
Paya Lebar North,female,fe55-59,-
Paya Lebar West,female,fe55-59,-
Plab,female,fe55-59,-
Pioneer - Total,female,fe55-59,-
Benoi Sector,female,fe55-59,-
Gul Basin,female,fe55-59,-
Gul Circle,female,fe55-59,-
Joo Koon,female,fe55-59,-
Pioneer Sector,female,fe55-59,-
Punggol - Total,female,fe55-59,3770
Coney Island,female,fe55-59,-
Matilda,female,fe55-59,1020
Northshore,female,fe55-59,20
Punggol Canal,female,fe55-59,-
Punggol Field,female,fe55-59,1420
Punggol Town Centre,female,fe55-59,360
Waterway East,female,fe55-59,940
Queenstown - Total,female,fe55-59,3440
Commonwealth,female,fe55-59,290
Dover,female,fe55-59,410
Ghim Moh,female,fe55-59,430
Holland Drive,female,fe55-59,520
Kent Ridge,female,fe55-59,-
Margaret Drive,female,fe55-59,420
Mei Chin,female,fe55-59,660
National University Of S'pore,female,fe55-59,10
One North,female,fe55-59,10
Pasir Panjang 1,female,fe55-59,160
Pasir Panjang 2,female,fe55-59,130
Port,female,fe55-59,10
Queensway,female,fe55-59,10
Singapore Polytechnic,female,fe55-59,-
Tanglin Halt,female,fe55-59,380
River Valley - Total,female,fe55-59,320
Institution Hill,female,fe55-59,60
Leonie Hill,female,fe55-59,110
One Tree Hill,female,fe55-59,90
Oxley,female,fe55-59,50
Paterson,female,fe55-59,10
Rochor - Total,female,fe55-59,430
Bencoolen,female,fe55-59,50
Farrer Park,female,fe55-59,80
Kampong Glam,female,fe55-59,10
Little India,female,fe55-59,110
Mackenzie,female,fe55-59,-
Mount Emily,female,fe55-59,40
Rochor Canal,female,fe55-59,-
Selegie,female,fe55-59,10
Sungei Road,female,fe55-59,70
Victoria,female,fe55-59,80
Seletar - Total,female,fe55-59,20
Pulau Punggol Barat,female,fe55-59,-
Pulau Punggol Timor,female,fe55-59,-
Seletar,female,fe55-59,10
Seletar Aerospace Park,female,fe55-59,-
Sembawang - Total,female,fe55-59,3250
Admiralty,female,fe55-59,430
Sembawang Central,female,fe55-59,1250
Sembawang East,female,fe55-59,400
Sembawang North,female,fe55-59,870
Sembawang Springs,female,fe55-59,200
Sembawang Straits,female,fe55-59,90
Senoko North,female,fe55-59,-
Senoko South,female,fe55-59,-
The Wharves,female,fe55-59,-
Sengkang - Total,female,fe55-59,7440
Anchorvale,female,fe55-59,1190
Compassvale,female,fe55-59,450
Fernvale,female,fe55-59,1350
Lorong Halus North,female,fe55-59,-
Rivervale,female,fe55-59,2330
Sengkang Town Centre,female,fe55-59,2140
Sengkang West,female,fe55-59,-
Serangoon - Total,female,fe55-59,5030
Lorong Chuan,female,fe55-59,370
Seletar Hills,female,fe55-59,630
Serangoon Central,female,fe55-59,1110
Serangoon Garden,female,fe55-59,1510
Serangoon North,female,fe55-59,760
Serangoon North Ind Estate,female,fe55-59,-
Upper Paya Lebar,female,fe55-59,660
Simpang - Total,female,fe55-59,-
Pulau Seletar,female,fe55-59,-
Simpang North,female,fe55-59,-
Simpang South,female,fe55-59,-
Tanjong Irau,female,fe55-59,-
Singapore River - Total,female,fe55-59,90
Boat Quay,female,fe55-59,10
Clarke Quay,female,fe55-59,-
Robertson Quay,female,fe55-59,80
Southern Islands - Total,female,fe55-59,80
Sentosa,female,fe55-59,80
Southern Group,female,fe55-59,-
Straits View - Total,female,fe55-59,-
Straits View,female,fe55-59,-
Sungei Kadut - Total,female,fe55-59,30
Gali Batu,female,fe55-59,-
Kranji,female,fe55-59,-
Pang Sua,female,fe55-59,-
Reservoir View,female,fe55-59,-
Turf Club,female,fe55-59,30
Tampines - Total,female,fe55-59,11310
Simei,female,fe55-59,1790
Tampines East,female,fe55-59,5920
Tampines North,female,fe55-59,130
Tampines West,female,fe55-59,3340
Xilin,female,fe55-59,120
Tanglin - Total,female,fe55-59,690
Chatsworth,female,fe55-59,190
Nassim,female,fe55-59,300
Ridout,female,fe55-59,50
Tyersall,female,fe55-59,150
Tengah - Total,female,fe55-59,-
Brickland,female,fe55-59,-
Forest Hill,female,fe55-59,-
Garden,female,fe55-59,-
Park,female,fe55-59,-
Plantation,female,fe55-59,-
Tengah Industrial Estate,female,fe55-59,-
Toa Payoh - Total,female,fe55-59,4750
Bidadari,female,fe55-59,-
Boon Teck,female,fe55-59,590
Braddell,female,fe55-59,390
Joo Seng,female,fe55-59,280
Kim Keat,female,fe55-59,340
Lorong 8 Toa Payoh,female,fe55-59,320
Pei Chun,female,fe55-59,430
Potong Pasir,female,fe55-59,430
Sennett,female,fe55-59,210
Toa Payoh Central,female,fe55-59,1090
Toa Payoh West,female,fe55-59,590
Woodleigh,female,fe55-59,90
Tuas - Total,female,fe55-59,-
Tengeh,female,fe55-59,-
Tuas Bay,female,fe55-59,-
Tuas North,female,fe55-59,-
Tuas Promenade,female,fe55-59,-
Tuas View,female,fe55-59,-
Tuas View Extension,female,fe55-59,-
Western Islands - Total,female,fe55-59,-
Jurong Island And Bukom,female,fe55-59,-
Semakau,female,fe55-59,-
Sudong,female,fe55-59,-
Western Water Catchment - Total,female,fe55-59,20
Bahar,female,fe55-59,-
Cleantech,female,fe55-59,-
Murai,female,fe55-59,20
Woodlands - Total,female,fe55-59,9620
Greenwood Park,female,fe55-59,-
Midview,female,fe55-59,1360
North Coast,female,fe55-59,570
Senoko West,female,fe55-59,-
Woodgrove,female,fe55-59,1450
Woodlands East,female,fe55-59,3570
Woodlands Regional Centre,female,fe55-59,-
Woodlands South,female,fe55-59,1280
Woodlands West,female,fe55-59,1390
Yishun - Total,female,fe55-59,9020
Khatib,female,fe55-59,550
Lower Seletar,female,fe55-59,350
Nee Soon,female,fe55-59,40
Northland,female,fe55-59,1380
Springleaf,female,fe55-59,200
Yishun Central,female,fe55-59,100
Yishun East,female,fe55-59,2040
Yishun South,female,fe55-59,1920
Yishun West,female,fe55-59,2440
Total,female,fe60-64,143160
Ang Mo Kio - Total,female,fe60-64,6650
Ang Mo Kio Town Centre,female,fe60-64,160
Cheng San,female,fe60-64,1170
Chong Boon,female,fe60-64,1110
Kebun Bahru,female,fe60-64,920
Sembawang Hills,female,fe60-64,220
Shangri-La,female,fe60-64,640
Tagore,female,fe60-64,380
Townsville,female,fe60-64,880
Yio Chu Kang,female,fe60-64,-
Yio Chu Kang East,female,fe60-64,180
Yio Chu Kang North,female,fe60-64,-
Yio Chu Kang West,female,fe60-64,1000
Bedok - Total,female,fe60-64,11190
Bayshore,female,fe60-64,220
Bedok North,female,fe60-64,3360
Bedok Reservoir,female,fe60-64,930
Bedok South,female,fe60-64,1900
Frankel,female,fe60-64,1110
Kaki Bukit,female,fe60-64,1810
Kembangan,female,fe60-64,1600
Siglap,female,fe60-64,270
Bishan - Total,female,fe60-64,3680
Bishan East,female,fe60-64,1290
Marymount,female,fe60-64,1190
Upper Thomson,female,fe60-64,1200
Boon Lay - Total,female,fe60-64,-
Liu Fang,female,fe60-64,-
Samulun,female,fe60-64,-
Shipyard,female,fe60-64,-
Tukang,female,fe60-64,-
Bukit Batok - Total,female,fe60-64,5930
Brickworks,female,fe60-64,330
Bukit Batok Central,female,fe60-64,1080
Bukit Batok East,female,fe60-64,650
Bukit Batok South,female,fe60-64,570
Bukit Batok West,female,fe60-64,630
Gombak,female,fe60-64,320
Guilin,female,fe60-64,430
Hillview,female,fe60-64,690
Hong Kah North,female,fe60-64,1220
Bukit Merah - Total,female,fe60-64,5490
Alexandra Hill,female,fe60-64,570
Alexandra North,female,fe60-64,50
Bukit Ho Swee,female,fe60-64,610
Bukit Merah,female,fe60-64,40
City Terminals,female,fe60-64,-
Depot Road,female,fe60-64,170
Everton Park,female,fe60-64,310
Henderson Hill,female,fe60-64,550
Kampong Tiong Bahru,female,fe60-64,370
Maritime Square,female,fe60-64,80
Redhill,female,fe60-64,260
Singapore General Hospital,female,fe60-64,-
Telok Blangah Drive,female,fe60-64,630
Telok Blangah Rise,female,fe60-64,570
Telok Blangah Way,female,fe60-64,380
Tiong Bahru,female,fe60-64,410
Tiong Bahru Station,female,fe60-64,510
