area,sex,age_group,population
Kampong Glam,total,5-9,-
Little India,total,5-9,70
Mackenzie,total,5-9,10
Mount Emily,total,5-9,90
Rochor Canal,total,5-9,-
Selegie,total,5-9,10
Sungei Road,total,5-9,90
Victoria,total,5-9,30
Seletar - Total,total,5-9,10
Pulau Punggol Barat,total,5-9,-
Pulau Punggol Timor,total,5-9,-
Seletar,total,5-9,10
Seletar Aerospace Park,total,5-9,-
Sembawang - Total,total,5-9,5820
Admiralty,total,5-9,860
Sembawang Central,total,5-9,1940
Sembawang East,total,5-9,850
Sembawang North,total,5-9,1520
Sembawang Springs,total,5-9,550
Sembawang Straits,total,5-9,100
Senoko North,total,5-9,-
Senoko South,total,5-9,-
The Wharves,total,5-9,-
Sengkang - Total,total,5-9,17600
Anchorvale,total,5-9,3850
Compassvale,total,5-9,1830
Fernvale,total,5-9,5270
Lorong Halus North,total,5-9,-
Rivervale,total,5-9,3060
Sengkang Town Centre,total,5-9,3590
Sengkang West,total,5-9,-
Serangoon - Total,total,5-9,4380
Lorong Chuan,total,5-9,390
Seletar Hills,total,5-9,640
Serangoon Central,total,5-9,780
Serangoon Garden,total,5-9,1170
Serangoon North,total,5-9,610
Serangoon North Ind Estate,total,5-9,-
Upper Paya Lebar,total,5-9,780
Simpang - Total,total,5-9,-
Pulau Seletar,total,5-9,-
Simpang North,total,5-9,-
Simpang South,total,5-9,-
Tanjong Irau,total,5-9,-
Singapore River - Total,total,5-9,260
Boat Quay,total,5-9,-
Clarke Quay,total,5-9,10
Robertson Quay,total,5-9,240
Southern Islands - Total,total,5-9,140
Sentosa,total,5-9,140
Southern Group,total,5-9,-
Straits View - Total,total,5-9,-
Straits View,total,5-9,-
Sungei Kadut - Total,total,5-9,40
Gali Batu,total,5-9,-
Kranji,total,5-9,-
Pang Sua,total,5-9,-
Reservoir View,total,5-9,-
Turf Club,total,5-9,30
Tampines - Total,total,5-9,11480
Simei,total,5-9,1710
Tampines East,total,5-9,5400
Tampines North,total,5-9,530
Tampines West,total,5-9,3780
Xilin,total,5-9,70
Tanglin - Total,total,5-9,1590
Chatsworth,total,5-9,440
Nassim,total,5-9,810
Ridout,total,5-9,100
Tyersall,total,5-9,240
Tengah - Total,total,5-9,-
Brickland,total,5-9,-
Forest Hill,total,5-9,-
Garden,total,5-9,-
Park,total,5-9,-
Plantation,total,5-9,-
Tengah Industrial Estate,total,5-9,-
Toa Payoh - Total,total,5-9,5060
Bidadari,total,5-9,-
Boon Teck,total,5-9,570
Braddell,total,5-9,430
Joo Seng,total,5-9,370
Kim Keat,total,5-9,240
Lorong 8 Toa Payoh,total,5-9,200
Pei Chun,total,5-9,370
Potong Pasir,total,5-9,450
Sennett,total,5-9,380
Toa Payoh Central,total,5-9,1430
Toa Payoh West,total,5-9,500
Woodleigh,total,5-9,130
Tuas - Total,total,5-9,-
Tengeh,total,5-9,-
Tuas Bay,total,5-9,-
Tuas North,total,5-9,-
Tuas Promenade,total,5-9,-
Tuas View,total,5-9,-
Tuas View Extension,total,5-9,-
Western Islands - Total,total,5-9,-
Jurong Island And Bukom,total,5-9,-
Semakau,total,5-9,-
Sudong,total,5-9,-
Western Water Catchment - Total,total,5-9,50
Bahar,total,5-9,-
Cleantech,total,5-9,-
Murai,total,5-9,50
Woodlands - Total,total,5-9,12540
Greenwood Park,total,5-9,-
Midview,total,5-9,1640
North Coast,total,5-9,350
Senoko West,total,5-9,-
Woodgrove,total,5-9,1330
Woodlands East,total,5-9,5280
Woodlands Regional Centre,total,5-9,-
Woodlands South,total,5-9,2620
Woodlands West,total,5-9,1320
Yishun - Total,total,5-9,11480
Khatib,total,5-9,320
Lower Seletar,total,5-9,1690
Nee Soon,total,5-9,50
Northland,total,5-9,1030
Springleaf,total,5-9,170
Yishun Central,total,5-9,120
Yishun East,total,5-9,4410
Yishun South,total,5-9,1690
Yishun West,total,5-9,1990
Total,total,10-14,206390
Ang Mo Kio - Total,total,10-14,7030
Ang Mo Kio Town Centre,total,10-14,280
Cheng San,total,10-14,1040
Chong Boon,total,10-14,1010
Kebun Bahru,total,10-14,950
Sembawang Hills,total,10-14,400
Shangri-La,total,10-14,640
Tagore,total,10-14,400
Townsville,total,10-14,930
Yio Chu Kang,total,10-14,-
Yio Chu Kang East,total,10-14,200
Yio Chu Kang North,total,10-14,-
Yio Chu Kang West,total,10-14,1190
Bedok - Total,total,10-14,12810
Bayshore,total,10-14,480
Bedok North,total,10-14,3440
Bedok Reservoir,total,10-14,1400
Bedok South,total,10-14,2120
Frankel,total,10-14,2060
Kaki Bukit,total,10-14,1580
Kembangan,total,10-14,1480
Siglap,total,10-14,260
Bishan - Total,total,10-14,4300
Bishan East,total,10-14,1300
Marymount,total,10-14,1540
Upper Thomson,total,10-14,1450
Boon Lay - Total,total,10-14,-
Liu Fang,total,10-14,-
Samulun,total,10-14,-
Shipyard,total,10-14,-
Tukang,total,10-14,-
Bukit Batok - Total,total,10-14,7690
Brickworks,total,10-14,850
Bukit Batok Central,total,10-14,1340
Bukit Batok East,total,10-14,540
Bukit Batok South,total,10-14,760
Bukit Batok West,total,10-14,710
Gombak,total,10-14,590
Guilin,total,10-14,650
Hillview,total,10-14,1040
Hong Kah North,total,10-14,1210
Bukit Merah - Total,total,10-14,6670
Alexandra Hill,total,10-14,570
Alexandra North,total,10-14,160
Bukit Ho Swee,total,10-14,560
Bukit Merah,total,10-14,60
City Terminals,total,10-14,-
Depot Road,total,10-14,380
Everton Park,total,10-14,310
Henderson Hill,total,10-14,490
Kampong Tiong Bahru,total,10-14,340
Maritime Square,total,10-14,190
Redhill,total,10-14,660
